cycles,frequency
95552500,0.00390625
92502500,0.00390625
89696500,0.00390625
95674500,0.00390625
100432500,0.00390625
96284500,0.00390625
91343500,0.00390625
98114500,0.00390625
99151500,0.00390625
90001500,0.00390625
92197500,0.00390625
93112500,0.00390625
88415500,0.00390625
95979500,0.00390625
90733500,0.00390625
88171500,0.00390625
90062500,0.00390625
93783500,0.00390625
98663500,0.00390625
91648500,0.00390625
91953500,0.00390625
86646500,0.00390625
89940500,0.00390625
100554500,0.00390625
91038500,0.00390625
98907500,0.00390625
93905500,0.00390625
110335500,0.00390625
88659500,0.00390625
93356500,0.00390625
96650500,0.00390625
89391500,0.00390625
97443500,0.00390625
86890500,0.00390625
88293500,0.00390625
98724500,0.00390625
100310500,0.00390625
100615500,0.00390625
98358500,0.00390625
89269500,0.00390625
96894500,0.00390625
96406500,0.00390625
100737500,0.00390625
88903500,0.00390625
92685500,0.00390625
99944500,0.00390625
95369500,0.00390625
87744500,0.00390625
98053500,0.00390625
87805500,0.00390625
92014500,0.00390625
92136500,0.00390625
87134500,0.00390625
99883500,0.00390625
93295500,0.00390625
93173500,0.00390625
97138500,0.00390625
87866500,0.00390625
100249500,0.00390625
96345500,0.00390625
94759500,0.00390625
95613500,0.00390625
94088500,0.00390625
110336500,0.0078125
89879500,0.00390625
100676500,0.00390625
87683500,0.00390625
94637500,0.00390625
101042500,0.00390625
91526500,0.00390625
95247500,0.00390625
90977500,0.00390625
99700500,0.00390625
99395500,0.00390625
99822500,0.00390625
96162500,0.00390625
101164500,0.00390625
87439500,0.00390625
99639500,0.00390625
86768500,0.00390625
87256500,0.00390625
101554500,0.01171875
88537500,0.00390625
92929500,0.00390625
91160500,0.00390625
94332500,0.00390625
86341500,0.00390625
90428500,0.00390625
90123500,0.00390625
94820500,0.00390625
87927500,0.00390625
92319500,0.00390625
87073500,0.00390625
93051500,0.00390625
85996500,0.01171875
92075500,0.00390625
88964500,0.00390625
91221500,0.00390625
98968500,0.00390625
96101500,0.00390625
89208500,0.00390625
90550500,0.00390625
89818500,0.00390625
97199500,0.00390625
97992500,0.00390625
100005500,0.00390625
86707500,0.00390625
97016500,0.00390625
97809500,0.00390625
97626500,0.00390625
88354500,0.00390625
97321500,0.00390625
87561500,0.00390625
99029500,0.00390625
99212500,0.00390625
92746500,0.00390625
93234500,0.00390625
85568500,0.00390625
88049500,0.00390625
98419500,0.00390625
95796500,0.00390625
89452500,0.00390625
98297500,0.00390625
86219500,0.00390625
97931500,0.00390625
98175500,0.00390625
95308500,0.00390625
92624500,0.00390625
95735500,0.00390625
92441500,0.00390625
91282500,0.00390625
87012500,0.00390625
94881500,0.00390625
100066500,0.00390625
87500500,0.00390625
96772500,0.00390625
99090500,0.00390625
96589500,0.00390625
100127500,0.00390625
98602500,0.00390625
97260500,0.00390625
99517500,0.00390625
91465500,0.00390625
89513500,0.00390625
87317500,0.00390625
91831500,0.00390625
100493500,0.00390625
98480500,0.00390625
99334500,0.00390625
93478500,0.00390625
89025500,0.00390625
99456500,0.00390625
97748500,0.00390625
90794500,0.00390625
92990500,0.00390625
99273500,0.00390625
94393500,0.00390625
91709500,0.00390625
89757500,0.00390625
95918500,0.00390625
90916500,0.00390625
86036500,0.00390625
95064500,0.00390625
86097500,0.00390625
96833500,0.00390625
94515500,0.00390625
94942500,0.00390625
89574500,0.00390625
92258500,0.00390625
88476500,0.00390625
99578500,0.00390625
90184500,0.00390625
91587500,0.00390625
96223500,0.00390625
86524500,0.00390625
86280500,0.00390625
91099500,0.00390625
92563500,0.00390625
101286500,0.00390625
90245500,0.00390625
100371500,0.00390625
98236500,0.00390625
93768500,0.015625
89147500,0.00390625
96040500,0.00390625
90306500,0.00390625
86402500,0.00390625
96467500,0.00390625
97565500,0.00390625
88598500,0.00390625
91770500,0.00390625
97077500,0.00390625
93844500,0.00390625
91404500,0.00390625
100798500,0.00390625
99761500,0.00390625
96528500,0.00390625
97687500,0.00390625
87195500,0.00390625
86463500,0.00390625
91892500,0.00390625
87622500,0.00390625
92380500,0.00390625
98846500,0.00390625
88232500,0.00390625
94149500,0.00390625
86585500,0.00390625
98785500,0.00390625
93966500,0.00390625
87378500,0.00390625
92868500,0.00390625
94698500,0.00390625
96955500,0.00390625
98541500,0.00390625
86951500,0.00390625
95003500,0.00390625
94027500,0.00390625
97382500,0.00390625
89635500,0.00390625
96711500,0.00390625
95491500,0.00390625
94454500,0.00390625
90672500,0.00390625
88720500,0.00390625
86158500,0.00390625
88781500,0.00390625
94271500,0.00390625
93417500,0.00390625
95430500,0.00390625
88110500,0.00390625
92807500,0.00390625
100188500,0.00390625
95125500,0.00390625
90855500,0.00390625
90367500,0.00390625
97504500,0.00390625
95186500,0.00390625
86829500,0.00390625
94576500,0.00390625
90489500,0.00390625
101103500,0.00390625
101225500,0.00390625
97870500,0.00390625
89330500,0.00390625
87988500,0.00390625
95857500,0.00390625
88842500,0.00390625
94210500,0.00390625
